Track,Preference,brightness_centroid,percussiveness_zcr,tempo_bpm,rms_variance,peak_to_trough_ratio,energy_gradient,chroma_variance,melody_to_drum_ratio
Chal Chaliye ｜ Coke Studio Pakistan ｜ Season 15 ｜ Sajjad Ali x Farheen Raza Jaffry,Disliked,1835.2809091118233,0.06666672848559867,89.10290948275862,0.008327748626470566,17.113012313842773,0.010272704064846039,0.011186662130057812,4.5103486748544315
Chappell Roan - Pink Pony Club (Lyrics),Disliked,2083.0309356320977,0.09133870605557577,107.666015625,0.008815592154860497,4.427881717681885,0.0183621346950531,0.00790864136070013,3.6481021650031225
Chaudhary Lyric Video - Mame Khan ｜ Amit Trivedi,Disliked,2185.810233594047,0.09002793467583498,172.265625,0.014409845694899559,11.563441276550293,0.020106319338083267,0.010188371874392033,1.8138473653108658
Coke Studio ｜ Season 14 ｜ Beparwah ｜ Momina Mustehsan,Disliked,1807.2792803327525,0.06527434012253468,89.10290948275862,0.016402320936322212,61.52547836303711,0.013040038757026196,0.011970724910497665,7.917839882652218
"Desi Girl Lyrics - Dostana ｜ Vishal-Shekhar, Shankar Mahadevan, Sunidhi Chauhan, Vishal Dadlani",Disliked,2182.7890271694055,0.08328035959826491,135.99917763157896,0.015352826565504074,4.1643877029418945,0.02709786966443062,0.01995760388672352,1.3155093601527994
Doja Cat - Say So (Lyrics) ＂Why dont you say so？＂,Disliked,2498.208819200291,0.1004008690004948,112.34714673913044,0.019661322236061096,4.969645977020264,0.034976013004779816,0.008435970172286034,2.342622511099757
Gerua - Shah Rukh Khan ｜ Kajol ｜ Dilwale ｜ Pritam ｜ Arijit Singh ｜ Antara Mitra,Disliked,1915.823052149149,0.08376226388158958,89.10290948275862,0.01352462824434042,4.379240989685059,0.015601372346282005,0.0073908488266170025,6.82182476880802
"Ghodey Pe Sawaar (LYRICS) - Qala ｜ Tripti Dimri, Babil Khan ｜ Amit Trivedi, Sireesha Bhagavatula",Disliked,1686.9640163174404,0.07793354696856288,103.359375,0.006507754325866699,3.85566782951355,0.01693740487098694,0.013189971446990967,4.419209212172591
Halsey - Without Me (Lyrics),Disliked,1951.0753894667018,0.07569325218314087,135.99917763157896,0.015781285241246223,7.037630081176758,0.01993291638791561,0.009211941622197628,1.994550546388664
"Hookah Bar Lyrics - Khiladi 786 ｜ Himesh Reshammiya, Aaman Trikha, Vineet Singh",Disliked,2299.0932382912806,0.0914877611068589,129.19921875,0.008670730516314507,2.562258243560791,0.018391616642475128,0.024763232097029686,4.285790057581406
JENNIE (제니) 'Love Hangover' (Color Coded Lyrics),Disliked,2432.743707501051,0.0820591370986314,143.5546875,0.013569808565080166,3.1535871028900146,0.026839789003133774,0.007264955434948206,4.352895405887368
JENNIE - F.T.S. (Official Lyric Video),Disliked,1746.6949033326475,0.07502422938729199,60.09265988372093,0.007366108242422342,2.79553484916687,0.012047520838677883,0.012778721749782562,4.65922270291607
JENNIE - twin (Official Lyric Video),Disliked,1840.4914931031444,0.06392741264055057,112.34714673913044,0.005488173104822636,3.7630934715270996,0.011408287100493908,0.028617991134524345,10.477221426478131
"Javed Ali ｜ Jashn-E-Bahaaraa (Audio Lyrical) ｜ A. R. Rahman ｜ Hrithik Roshan, Aishwarya Rai",Disliked,1779.5571336066764,0.062009345357389,135.99917763157896,0.012867255136370659,4.5688557624816895,0.018836569041013718,0.01828857511281967,5.582828564366259
Jonas Brothers - Burnin' Up [4K] [60FPS],Disliked,2710.171702351786,0.1273751167876047,112.34714673913044,0.0045067258179187775,12.366332054138184,0.011035287752747536,0.0029074177145957947,1.8579982276503606
Justin Bieber - Sorry (Lyrics),Disliked,2238.5949125690327,0.08106474987993363,135.99917763157896,0.012108206748962402,3.033297538757324,0.025171339511871338,0.007253764662891626,2.1563032968161435
Kudmayi - Lyrical ｜ Rocky Aur Rani Kii Prem Kahaani ｜ Ranveer ｜ Alia ｜ Shahid ｜ Pritam ｜ Amitabh,Disliked,1737.149926657125,0.05898796365791819,89.10290948275862,0.007379905786365271,4.411208152770996,0.015739409253001213,0.009723545983433723,3.6880773250060317
LISA - BORN AGAIN (Lyrics) ft. Doja Cat & RAYE,Disliked,2682.332892737203,0.11513569181897847,117.45383522727273,0.009084896184504032,2.891993522644043,0.020620187744498253,0.007288331165909767,2.1843707129992183
LISA - MONEY (Lyrics),Disliked,3067.9451116024616,0.1594014615191669,135.99917763157896,0.0135014234110713,9.351806640625,0.012634898535907269,0.014961350709199905,4.28860518983024
Lana Del Rey - Million Dollar Man (Lyrics),Disliked,1909.278304968384,0.08437834540302266,66.25600961538461,0.010033627972006798,4.478681564331055,0.01264153141528368,0.010119054466485977,5.103497044175735
Lana Del Rey - National Anthem (Lyrics),Disliked,1930.977006313591,0.08974807592066922,172.265625,0.015854323282837868,7.639562129974365,0.024685850366950035,0.005138924345374107,1.2527666085132527
Lana Del Rey - Young and Beautiful,Disliked,1882.5317167136238,0.06775938207047975,112.34714673913044,0.009396200999617577,5.517851829528809,0.007384263910353184,0.01179908961057663,18.83081619357184
Love To Hate Me,Disliked,3086.98765330655,0.12829012371393902,161.4990234375,0.008708436042070389,2.569521188735962,0.018676307052373886,0.006215270143002272,2.887684977774327
Lovesick Girls,Disliked,2776.646121278709,0.1425260252202875,129.19921875,0.00829704012721777,3.031073808670044,0.018530234694480896,0.003840415505692363,2.1994744733941287
Lyrical ｜ Challa ｜ Song with Lyrics ｜ Jab Tak Hai Jaan ｜ Shah Rukh Khan ｜ A. R. Rahman ｜ Gulzar,Disliked,2677.9059294199105,0.10437564138030782,117.45383522727273,0.009861563332378864,3.0039217472076416,0.0272808987647295,0.003640355309471488,2.019058962612988
"Lyrical ｜ Heer ｜ Song with Lyrics ｜ Jab Tak Hai Jaan ｜ Shah Rukh Khan, Katrina ｜ A R Rahman ｜ Gulzar",Disliked,1680.3649004365366,0.06918884451494219,161.4990234375,0.01050804927945137,3.4155032634735107,0.020351504907011986,0.01272572111338377,1.817557448620115
Mehmaan ｜ Coke Studio Pakistan ｜ Season 15 ｜ Nizam Torwali x Zeb Bangash x Noorima Rehan,Disliked,1474.083895071984,0.051317157563460114,129.19921875,0.010775474831461906,13.978678703308105,0.01354120671749115,0.007187938783317804,2.6218520782860204
Miley Cyrus - Flowers (Lyrics),Disliked,1906.829915629662,0.07267349087334195,117.45383522727273,0.015096688643097878,3.1110947132110596,0.026257209479808807,0.005991846323013306,1.5157522802985037
"Moh Moh Ke Dhaage (Female) Lyrical Song ｜ Dum Laga Ke Haisha ｜ Ayushmann, Bhumi, Monali, Anu, Varun",Disliked,2154.934294886441,0.07558634519182322,129.19921875,0.007446978706866503,2.9854884147644043,0.015293814241886139,0.012860511429607868,7.4528898431784505
Monali Thakur - Sawaar Loon (Lyrics) ｜ Lootera,Disliked,1763.9637086527848,0.08376317062106273,112.34714673913044,0.008564264513552189,4.443220615386963,0.017403198406100273,0.015527750365436077,4.373605187429828
